mp-1018740 LaCoSi
mp-3523 SrGd2O4
mp-1079833 SmCoSb2
mp-561194 La10S14O
mp-35078 BaMnO3
mp-1019537 BaAlSi4N5O3
mp-11069 YbAgSn
mp-646125 Y5Mg8Cu5
mp-707391 Na3AsH24SeO15
mp-10476 NaEr(SO4)2
mp-556723 Na3Fe2(AsO4)3
mp-1188983 TbZn3
mp-14636 Rb2NbAgS4
mp-567370 Ce3Se4
mp-20166 Np(SiAu)2
mp-27687 LiP7
mp-30672 Ti3Ga
mp-17667 Sr3AlSb3
mp-1195702 SrV2(CoO4)2
mp-13174 PtN
mp-561468 Cu2SiS3
mp-559914 K2MoCl5O
mp-384 MgP4
mp-558482 K17Fe5O16
mp-643793 Cu3H2(OF2)2
mp-7396 Li3Tl
mp-570703 Ca(AlCl4)2
mp-16084 Pr3Co29(Si2B5)2
mp-22992 TiClO
mp-8537 S(OF)2
mp-558952 Sr2VClO4
mp-12562 CeCu5Au
mp-3882 Sm(SiRh)2
mp-1501 Al3Pt5
mp-707277 AgH2C2N3O
mp-1203855 LiYb8Ge13
mp-27417 Li3InO3
mp-17455 K7Ta(SO4)6
mp-1191402 GdMnGe2O7
mp-31301 LiSn4Au3
mp-541070 Ta2NiSe5
mp-22725 TiInCu2
mp-559309 K3ZnNCl4O3
mp-672295 Cu4Bi5PbS11
mp-1008874 MnCoTe
mp-1193569 LaSO5
mp-4207 USb2Pd
mp-1192181 AuC4(N2O)2
mp-4953 CdGeAs2
mp-28998 Sn5(BIr3)2
mp-2002 Cu3Sb
mp-1198737 CsTc3(Se2Br)2
mp-1199900 Yb2Co17
mp-1190600 La3SbO7
mp-560100 CdCu2(BO3)2
mp-707440 Sr2Mg3H10
mp-1202253 Eu2Si3Ni8
mp-7921 MgPdF6
mp-1105291 Li2MnSnS4
mp-11525 TmNi
mp-1196441 LiB2H11N2
mp-574159 CeAs2Pd3
mp-696762 TlP2H5O8
mp-6757 Ho4Si2S3O7
mp-29117 Ta3TeI7
mp-558986 CaMn6SiO12
mp-582274 Ce(Ni5P2)2
mp-1198497 NaH8C2S2NO5
mp-1092268 GaSiCN
mp-1193469 CeCo9Si4
mp-31313 K3PSe4
mp-1182625 K3NaMo5Se2O23
mp-2086 PuS
mp-541040 Y2Be2GeO7
mp-554623 Sm2Ta2Cl2O7
mp-622602 NaMoAsO6
mp-1204728 Tm10Mn13C18
